esrb_game_id,title,esrb,developer,publisher,release_date,source
1,Monster Jam Steel Titans 2,E,,,,kaggle:imohtn/video-games-rating-by-esrb
2,Subnautica: Below Zero,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
3,NIER REPLICANT VER.1.22474487139…,M,,,,kaggle:imohtn/video-games-rating-by-esrb
4,Jamestown+,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
5,Neptunia Virtual Stars,T,,,,kaggle:imohtn/video-games-rating-by-esrb
6,Monster Energy Supercross - The Official Videogame 4,E,,,,kaggle:imohtn/video-games-rating-by-esrb
7,Monochrome Order,T,,,,kaggle:imohtn/video-games-rating-by-esrb
8,Blightbound,T,,,,kaggle:imohtn/video-games-rating-by-esrb
9,Maquette,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
10,FATAL FURY™ BATTLE ARCHIVES VOL.2,T,,,,kaggle:imohtn/video-games-rating-by-esrb
11,NBA LIVE 20,E,,,,kaggle:imohtn/video-games-rating-by-esrb
12,Golden Force,M,,,,kaggle:imohtn/video-games-rating-by-esrb
13,Dungreed,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
14,The End is Nigh,M,,,,kaggle:imohtn/video-games-rating-by-esrb
15,Fallout 76: Steel Dawn,M,,,,kaggle:imohtn/video-games-rating-by-esrb
16,Red Dead Online,M,,,,kaggle:imohtn/video-games-rating-by-esrb
17,Override 2: Super Mech League – Ultraman Deluxe Edition,T,,,,kaggle:imohtn/video-games-rating-by-esrb
18,Turrican Flashback,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
19,Sniper Ghost Warrior Contracts 2,M,,,,kaggle:imohtn/video-games-rating-by-esrb
20,Surviving the Aftermath,T,,,,kaggle:imohtn/video-games-rating-by-esrb
21,Asdivine Menace,T,,,,kaggle:imohtn/video-games-rating-by-esrb
22,West of Dead,T,,,,kaggle:imohtn/video-games-rating-by-esrb
23,FIVE NIGHTS AT FREDDY'S: HELP WANTED,T,,,,kaggle:imohtn/video-games-rating-by-esrb
24,Ruined King: A League of Legends Story,T,,,,kaggle:imohtn/video-games-rating-by-esrb
25,Tanuki Justice,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
26,Bibi & Tina at the Horse Farm,E,,,,kaggle:imohtn/video-games-rating-by-esrb
27,Bugsnax,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
28,Bus Simulator 21,E,,,,kaggle:imohtn/video-games-rating-by-esrb
29,Five Nights at Freddy's: Core Collection,T,,,,kaggle:imohtn/video-games-rating-by-esrb
30,Afterparty,M,,,,kaggle:imohtn/video-games-rating-by-esrb
31,EA SPORTS™ FIFA 21 ÉDITION NXT LVL,E,,,,kaggle:imohtn/video-games-rating-by-esrb
32,EA SPORTS™ FIFA 21 NXT LEVEL EDITION,E,,,,kaggle:imohtn/video-games-rating-by-esrb
33,EA SPORTS™ MADDEN NFL 21 ÉDITION NXT LVL,E,,,,kaggle:imohtn/video-games-rating-by-esrb
34,EA SPORTS™ MADDEN NFL 21 NXT LEVEL EDITION,E,,,,kaggle:imohtn/video-games-rating-by-esrb
35,My Universe - Pet Clinic Cats and Dogs,E,,,,kaggle:imohtn/video-games-rating-by-esrb
36,Empire of Sin,M,,,,kaggle:imohtn/video-games-rating-by-esrb
37,Worms Rumble,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
38,EarthNight,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
39,METAL SLUG ANTHOLOGY™,T,,,,kaggle:imohtn/video-games-rating-by-esrb
40,NHL 94 Rewind,E,,,,kaggle:imohtn/video-games-rating-by-esrb
41,Story of a Gladiator,M,,,,kaggle:imohtn/video-games-rating-by-esrb
42,The TakeOver,T,,,,kaggle:imohtn/video-games-rating-by-esrb
43,Space Invaders Forever,E,,,,kaggle:imohtn/video-games-rating-by-esrb
44,BALAN WONDERWORLD,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
45,HITMAN 3,M,,,,kaggle:imohtn/video-games-rating-by-esrb
46,Bubble Bobble 4 Friends: The Baron is Back!,E,,,,kaggle:imohtn/video-games-rating-by-esrb
47,Fortnite,T,,,,kaggle:imohtn/video-games-rating-by-esrb
48,Fortnite - The Last Laugh Bundle,T,,,,kaggle:imohtn/video-games-rating-by-esrb
49,Who Wants to Be a Millionaire?,E,,,,kaggle:imohtn/video-games-rating-by-esrb
50,Werewolf: The Apocalypse - Earthblood,M,,,,kaggle:imohtn/video-games-rating-by-esrb
51,Asdivine Dios,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
52,Les Sims™ 4 Escapade enneigée ,T,,,,kaggle:imohtn/video-games-rating-by-esrb
53,Need for Speed Hot Pursuit Remastered,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
54,The Sims™ 4 Snowy Escape,T,,,,kaggle:imohtn/video-games-rating-by-esrb
55,Professor  Rubik's Brain Fitness,E,,,,kaggle:imohtn/video-games-rating-by-esrb
56,Slide Stars,T,,,,kaggle:imohtn/video-games-rating-by-esrb
57,My Universe - Cooking Star Restaurant,E,,,,kaggle:imohtn/video-games-rating-by-esrb
58,XIII,M,,,,kaggle:imohtn/video-games-rating-by-esrb
59,Wallachia: Reign of Dracula,T,,,,kaggle:imohtn/video-games-rating-by-esrb
60,TERA,M,,,,kaggle:imohtn/video-games-rating-by-esrb
61,PAW Patrol Mighty Pups Save Adventure Bay,E,,,,kaggle:imohtn/video-games-rating-by-esrb
62,Watch Dogs Complete Edition,M,,,,kaggle:imohtn/video-games-rating-by-esrb
63,Planet Coaster Console Edition,E,,,,kaggle:imohtn/video-games-rating-by-esrb
64,THE KING OF FIGHTERS™ COLLECTION: THE OROCHI SAGA,T,,,,kaggle:imohtn/video-games-rating-by-esrb
65,Harvest Moon: One World,E,,,,kaggle:imohtn/video-games-rating-by-esrb
66,Art of Fighting Anthology ,T,,,,kaggle:imohtn/video-games-rating-by-esrb
67,Demon's Tier+,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
68,SIMULACRA,M,,,,kaggle:imohtn/video-games-rating-by-esrb
69,Space Channel 5 VR Kinda Funky News Flash!,ET,,,,kaggle:imohtn/video-games-rating-by-esrb
70,The Complex,M,,,,kaggle:imohtn/video-games-rating-by-esrb
71,Prince of Persia: The Sands of Time Remake,T,,,,kaggle:imohtn/video-games-rating-by-esrb
72,Shadows of Adam,T,,,,kaggle:imohtn/video-games-rating-by-esrb
73,Hellpoint,M,,,,kaggle:imohtn/video-games-rating-by-esrb
74,Mad Rat Dead,T,,,,kaggle:imohtn/video-games-rating-by-esrb
75,Where the Water Tastes Like Wine,M,,,,kaggle:imohtn/video-games-rating-by-esrb
76,Marvel's Spider-Man: Miles Morales,T,,,,kaggle:imohtn/video-games-rating-by-esrb
77,MY UNIVERSE - FASHION BOUTIQUE,E,,,,kaggle:imohtn/video-games-rating-by-esrb
78,The Walking Dead: Saints & Sinners - Complete Edition,M,,,,kaggle:imohtn/video-games-rating-by-esrb
79,Mighty Gunvolt Burst,E,,,,kaggle:imohtn/video-games-rating-by-esrb
80,Santa's Xmas Adventure,E,,,,kaggle:imohtn/video-games-rating-by-esrb
81,Train Sim World®2: Collector's Edition,E,,,,kaggle:imohtn/video-games-rating-by-esrb
82,Ys IX: Monstrum Nox,T,,,,kaggle:imohtn/video-games-rating-by-esrb
