sales_game_id,title,platform,genre,publisher,developer,release_year,source
1,Wii Sports,Wii,Sports,Nintendo,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
2,Super Mario Bros.,NES,Platform,Nintendo,,1985.0,kaggle:ulrikthygepedersen/video-games-sales
3,Mario Kart Wii,Wii,Racing,Nintendo,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
4,Wii Sports Resort,Wii,Sports,Nintendo,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,,1996.0,kaggle:ulrikthygepedersen/video-games-sales
6,Tetris,GB,Puzzle,Nintendo,,1989.0,kaggle:ulrikthygepedersen/video-games-sales
7,New Super Mario Bros.,DS,Platform,Nintendo,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
8,Wii Play,Wii,Misc,Nintendo,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
9,New Super Mario Bros. Wii,Wii,Platform,Nintendo,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
10,Duck Hunt,NES,Shooter,Nintendo,,1984.0,kaggle:ulrikthygepedersen/video-games-sales
11,Nintendogs,DS,Simulation,Nintendo,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
12,Mario Kart DS,DS,Racing,Nintendo,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
13,Pokemon Gold/Pokemon Silver,GB,Role-Playing,Nintendo,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
14,Wii Fit,Wii,Sports,Nintendo,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
15,Wii Fit Plus,Wii,Sports,Nintendo,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
16,Kinect Adventures!,X360,Misc,Microsoft Game Studios,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
17,Grand Theft Auto V,PS3,Action,Take-Two Interactive,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
18,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
19,Super Mario World,SNES,Platform,Nintendo,,1990.0,kaggle:ulrikthygepedersen/video-games-sales
20,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
22,Super Mario Land,GB,Platform,Nintendo,,1989.0,kaggle:ulrikthygepedersen/video-games-sales
23,Super Mario Bros. 3,NES,Platform,Nintendo,,1988.0,kaggle:ulrikthygepedersen/video-games-sales
24,Grand Theft Auto V,X360,Action,Take-Two Interactive,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
25,Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
